"branch_id","b_total_work_hours","b_total_work_days","b_total_salary_paid","b_total_headcount"
1,"101343.57722222222222153333","11028","6154000000.00","58"
2,"22663.8652777777777797","2419","1515500000.00","11"
3,"11644.7036111111111106","1257","820000000.00","9"
2590,"22453.5683333333333358","2835","1558000000.00","10"
2623,"43713.25305555555555568888","5269","2712000000.00","21"
2625,"12334.5136111111111107","1634","825000000.00","5"
2626,"16828.2277777777777782","2244","973000000.00","8"
2629,"24248.8227777777777780","2918","1727000000.00","13"
2630,"13445.63277777777777756667","1753","978500000.00","6"
2631,"13341.51111111111111052222","1735","782000000.00","5"
2633,"13083.3130555555555575","1693","977000000.00","5"
2634,"1408.2322222222222221","182","90000000.00","1"
2635,"7449.2194444444444443","1009","410500000.00","4"
3092,"24197.20222222222222256667","3386","1383500000.00","12"
11265,"753.8591666666666669","80","55000000.00","1"
12722,"2165.6244444444444446","272","35000000.00","1"
